Index,Metropolitian Area/City,Country,Official est. GDP(billion US$),Metropolitian Population,Metropolitian_Area,City
158,Chennai,India,1283.0,12200000,Chennai,
159,"Cheyenne, WY MSA",United States,7545.0,100723,Cheyenne,WY MSA
160,"Chicago–Naperville, IL–IN–WI CSA",United States,832899.0,9806184,Chicago–Naperville,IL–IN–WI CSA
161,"Chico, CA MSA",United States,11077.0,207303,Chico,CA MSA
162,Chittagong,Bangladesh,255.0,4925000,Chittagong,
163,Chongqing,China,407562.0,10100000,Chongqing,
164,Chuzhou,China,43960.0,3937868,Chuzhou,
165,"Cincinnati, OH-KY-IN MSA",United States,186141.0,2265051,Cincinnati,OH-KY-IN MSA
166,"Clarksville, TN-KY MSA",United States,16209.0,336605,Clarksville,TN-KY MSA
167,Clermont-Ferrand,France,26492.0,362578,Clermont-Ferrand,
168,"Cleveland-Elyria, OH MSA",United States,162788.0,2063132,Cleveland-Elyria,OH MSA
169,"Cleveland, TN MSA",United States,6296.0,128479,Cleveland,TN MSA
170,Cluj-Napoca,Romania,13155.0,286598,Cluj-Napoca,
171,Cocos (Keeling) Islands,Cocos (Keeling) Islands,11.0,561,Cocos (Keeling) Islands,
172,"Coeur d'Alene, ID MSA",United States,9609.0,183578,Coeur d'Alene,ID MSA
173,Coimbatore,India,42.0,2775000,Coimbatore,
174,Coimbra,Portugal,9837.0,140796,Coimbra,
175,"College Station-Bryan, TX MSA",United States,18181.0,277824,College Station-Bryan,TX MSA
176,"Colorado Springs, CO MSA",United States,47905.0,765424,Colorado Springs,CO MSA
177,"Columbia, MO MSA",United States,12514.0,214630,Columbia,MO MSA
178,"Columbia, SC MSA",United States,54072.0,847686,Columbia,SC MSA
179,"Columbus, GA-AL MSA",United States,17038.0,324110,Columbus,GA-AL MSA
180,"Columbus, IN MSA",United States,7979.0,83540,Columbus,IN MSA
181,"Columbus, OH MSA",United States,169123.0,2161511,Columbus,OH MSA
182,Communauté d'agglomération Nîmes Métropole,France,23471.0,564024,Communauté d'agglomération Nîmes Métropole,
183,Communauté d'agglomération Pau Béarn Pyrénées,France,26427.0,311949,Communauté d'agglomération Pau Béarn Pyrénées,
184,Constanța,Romania,9159.0,263688,Constanța,
185,Copenhagen metropolitan area,Denmark,179846.0,1857783,Copenhagen,
186,Córdoba metropolitan area,Spain,14929.0,326039,Córdoba,
187,"Corpus Christi, TX MSA",United States,28228.0,421628,Corpus Christi,TX MSA
188,"Corvallis, OR MSA",United States,5443.0,97630,Corvallis,OR MSA
189,Coventry,United Kingdom,139.0,379387,Coventry,
190,"Crestview-Fort Walton Beach-Destin, FL MSA",United States,21491.0,299786,Crestview-Fort Walton Beach-Destin,FL MSA
191,"Cumberland, MD-WV MSA",United States,4342.0,94122,Cumberland,MD-WV MSA
192,Curitiba,Brazil,58082.0,3054076,Curitiba,
193,Daegu,South Korea,50400.0,2750000,Daegu,
194,Daejeon,South Korea,40000.0,1540000,Daejeon,
195,Dalian,China,125.0,5050000,Dalian,
196,"Dallas-Fort Worth-Arlington, TX MSA",United States,688928.0,7943685,Dallas-Fort Worth-Arlington,TX MSA
197,"Dalton, GA MSA",United States,8726.0,143604,Dalton,GA MSA
198,"Danville, IL MSA",United States,3946.0,72337,Danville,IL MSA
199,"Daphne-Fairhope-Foley, AL MSA",United States,10811.0,246435,Daphne-Fairhope-Foley,AL MSA
200,Daqing,China,33362.0,2781562,Daqing,
201,Dar es Salaam,Tanzania,104.0,6450000,Dar es Salaam,
202,"Davenport-Moline-Rock Island, IA-IL MSA",United States,25774.0,379374,Davenport-Moline-Rock Island,IA-IL MSA
203,"Dayton, OH MSA",United States,41111.0,812595,Dayton,OH MSA
204,"Decatur, AL MSA",United States,8038.0,157425,Decatur,AL MSA
205,"Decatur, IL MSA",United States,8181.0,101483,Decatur,IL MSA
206,"Deltona-Daytona Beach-Ormond Beach, FL MSA",United States,28134.0,705897,Deltona-Daytona Beach-Ormond Beach,FL MSA
207,Denpasar Metropolitan,Indonesia,9941.0,2260667,Denpasar Metropolitan,
208,"Denver-Aurora-Lakewood, CO MSA",United States,288800.0,2985871,Denver-Aurora-Lakewood,CO MSA
209,"Des Moines-West Des Moines, IA MSA",United States,67334.0,729053,Des Moines-West Des Moines,IA MSA
210,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",United States,305412.0,4345761,Detroit-Warren-Dearborn,MI Metropolitan Statistical Area
211,Deyang,China,34855.0,3456161,Deyang,
212,Dijon Métropole,France,23472.0,368440,Dijon Métropole,
213,Dongying,China,43222.0,2193518,Dongying,
214,"Dothan, AL MSA",United States,8410.0,152517,Dothan,AL MSA
215,"Dover, DE MSA",United States,9920.0,186946,Dover,DE MSA
216,Dresden,Germany,50788.0,1343747,Dresden,
217,Dubai-Sharjah-Ajman metropolitan area,United Arab Emirates,202800.0,4264316,Dubai-Sharjah-Ajman,
218,"Dubuque, IA MSA",United States,8184.0,98677,Dubuque,IA MSA
219,"Duluth, MN-WI MSA",United States,16822.0,291323,Duluth,MN-WI MSA
220,Durban,South Africa,64700.0,3525000,Durban,
